country_name,country_code,year,government_expenditure_on_education_as_percent_of_gdp_percent,gross_enrolment_ratio_primary_female_percent,gross_enrolment_ratio_primary_gender_parity_index_gpi,out_of_school_children_of_primary_school_age_both_sexes_number,literacy_rate_population_25_64_years_adjusted_gender_parity_index_gpia,internet_users_per_100_people,gni_current_us,gdp_per_capita_current_us,na
India,IND,1982-01-01,NA,67.80452,0.67563,NA,NA,NA,200056669825.258,274.111331421581,NA
India,IND,1983-01-01,NA,69.8634,0.68411,NA,NA,NA,217346843963.138,291.238110137317,NA
India,IND,1984-01-01,NA,71.38266,0.68808,NA,NA,NA,210960266670.706,276.667958643143,NA
India,IND,1985-01-01,NA,72.23265,0.70442,NA,NA,NA,231344146134.325,296.435151551022,NA
India,IND,1986-01-01,NA,75.38278,0.72702,NA,NA,NA,247574348949.764,310.465935085896,NA
India,IND,1987-01-01,NA,74.42185,0.74154,NA,NA,NA,277014075282.35,340.41683161231,NA
India,IND,1988-01-01,NA,75.91306,0.74832,NA,NA,NA,293483314650.144,354.149251617083,NA
India,IND,1989-01-01,NA,77.50959,0.73394,NA,NA,NA,292602874479.116,346.112887271625,NA
India,IND,1990-01-01,NA,77.74122,0.74746,24350653,NA,0,316775332517.636,367.556609311203,NA
India,IND,1991-01-01,NA,78.98611,0.77237,NA,0.49333,NA,265995400854.861,303.05560534270103,NA
India,IND,1992-01-01,NA,79.93688,0.7844,NA,NA,1.11308e-4,283799332762.87,316.953927895311,NA
India,IND,1993-01-01,NA,83.30173,0.81624,NA,NA,2.18176e-4,275444510280.797,301.159004220577,NA
India,IND,1994-01-01,NA,84.86303,0.82579,NA,NA,0.001069562,323108717813.725,346.102950322606,NA
India,IND,1995-01-01,NA,84.71991,0.82758,NA,NA,0.026228879,356252331233.451,373.766480007829,NA
India,IND,1996-01-01,NA,85.19561,0.83774,NA,NA,0.046333977,389212066967.505,399.950076763934,NA
India,IND,1997-01-01,3.36136,85.34358,0.8461,NA,NA,0.070767849,412314039081.443,415.493796981777,NA
India,IND,1998-01-01,3.57256,84.15724,0.8513,NA,NA,0.139027329,417792938008.473,413.298934242221,NA
India,IND,1999-01-01,4.41539,84.89983,0.85348,NA,NA,0.273224277,455259488556.383,441.998759593395,NA
India,IND,2000-01-01,4.32479,86.76234,0.85883,19457444,NA,0.52753245,463418960201.815,443.31419339174,NA
India,IND,2001-01-01,NA,87.15018,0.8684,19595255,0.60153,0.660146377,481233322101.917,451.573001074356,NA
India,IND,2002-01-01,NA,88.68851,0.88545,19909725,NA,1.537875582,511490036313.605,470.98678594916,NA
India,IND,2003-01-01,3.61341,101.92667,0.98615,14109172,NA,1.686489971,603192892963.386,546.726614478728,NA
India,IND,2004-01-01,3.35254,NA,NA,NA,NA,1.976136492,704168745465.35,627.774247283919,NA
India,IND,2005-01-01,3.18875,NA,NA,NA,NA,2.388075,814482820622.222,714.861013495661,NA
India,IND,2006-01-01,3.14285,NA,NA,NA,0.61154,2.805499865,932915277249.472,806.753280628799,NA
India,IND,2007-01-01,NA,109.61158,0.993,4019535,NA,3.95,1211640646849.16,1028.33477107667,NA
India,IND,2008-01-01,NA,111.85216,1.01991,3974854,NA,4.38,1191737412305.19,998.522339019268,NA
India,IND,2009-01-01,3.27825,111.28928,1.03223,5641942,NA,5.12,1333877109441.3,1101.96084002239,NA
India,IND,2010-01-01,3.37769,110.69512,1.02797,4922041,NA,7.5,1657660320258.9,1357.56371913262,NA
India,IND,2011-01-01,3.79618,110.31036,1.03525,5445603,0.70607,10.07,1807019187629.77,1458.10352686177,NA
India,IND,2012-01-01,3.8675,111.97443,1.03883,3838679,NA,12.58006091,1806177662220.11,1443.87952939042,NA
India,IND,2013-01-01,3.84467,117.12038,1.11811,2887748,NA,15.1,1833601556952.76,1449.6059123387,NA
India,IND,2014-01-01,NA,114.01876,1.11393,NA,NA,21,2015015376660.84,1573.88149211052,NA
India,IND,2015-01-01,NA,114.78057,1.11618,NA,NA,17,2079182325742.91,1605.60543109026,NA
India,IND,2016-01-01,NA,123.55514,1.16104,NA,NA,22,2264131959531.55,1729.26802051544,NA
India,IND,2017-01-01,NA,121.12737,1.14725,NA,NA,34.45,2623569704360.72,1981.26870609561,NA
India,IND,2018-01-01,NA,NA,NA,NA,0.76452,NA,2691040859289.3,2009.97885727039,NA
India,IND,2019-01-01,NA,97.81434,1.01958,NA,NA,NA,NA,NA,NA
India,IND,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
