Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Solomon Islands,SLB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1221.94150894215,1301.9012795308,1458.65022823787,1509.10097290273,1635.92163306007,1757.26562729748,1767.77170778006,1723.5045413548,1725.4364549014,1694.65219081227,1445.48622850287,1323.15218829282,1271.97902520385,1344.05535169591,1411.46842574298,1497.18303399026,1611.37405833227,1735.89456963802,1853.137465374,1737.97250891582,1832.83157308627,2064.59580340548,2142.50704790643,2185.86878330004,2216.26505321992,2235.8269641723,2271.61391481807,2337.64267206152,2422.81953266746,..,..
Solomon Islands,SLB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,381082010.627752,417623892.447891,481347282.067356,512345816.704368,571396343.916853,631352151.841068,653232304.774012,654930002.210281,674115944.874793,680548594.699535,596494347.053994,560942431.313613,553860370.902565,600815591.14905,647213320.47176,703553256.966636,775196609.234372,854289266.345096,932795274.570655,895370415.115763,967480307.000893,1118021984.05594,1191371039.08704,1248863341.30673,1301122671.1793,1348467486.97767,1407121708.55316,1486829569.85266,1581757114.45821,..,..
Somalia,SOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6424.50221549547,6414.05792300857,6261.71618392255,6331.7775797344,6520.86660416208,6719.58331536471,7000.80161883155,7179.80665132193,7180.8570248286,7348.95225728818,7719.25595689166,7994.26242516468,8315.44273647829,8613.58744164627,9136.41431397049,9796.15454925227,10524.3460615467,11240.2603673405,11667.8498259962,11416.0016881954,11728.1604904117,12179.1741881803,12488.2155717958,12815.7270740548,13090.4768283107,13185.2532832682,13188.0296171609,13438.2828870412,13686.8823613158,..,..
South Africa,ZAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,236424951601.861,241931530095.064,242156889126.376,250952089650.798,264512817662.36,278431028116.29,295720938189.881,308641658411.242,313676063581.389,325841835664.719,347117247846.765,364308723405.084,383765274287.691,402419879949.411,432075742534.71,469045767307.083,510319846853.182,552118880341.018,580819392045.531,576245642791.057,600680773623.637,633367869300.09,659802443961.335,688066595390.516,714033031262.742,730283277335.049,741215453544.661,765988185226.929,790822889195.294,..,..
South Asia,SAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1276.96031804591,1316.71465325711,1393.82673468677,1457.03186393206,1544.81582780799,1651.91548434288,1761.10815177385,1821.53976363427,1906.62862060644,2044.00367902018,2134.10650147438,2232.81475320645,2310.08279277255,2478.72084799256,2691.43752065467,2940.49014689685,3210.32676968551,3481.12907467884,3606.76575682724,3833.44162024182,4112.32111784669,4351.00650182829,4614.42362510057,4915.52842194508,5288.85730551181,5671.43401319606,6097.57277150815,6562.46706953397,7084.49097493871,..,..
South Asia,SAS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1447428385987.67,1525618828982.56,1650476670486.44,1762786774709.66,1908919447156.49,2084036348993.79,2267384813423.74,2392312649130.5,2553362211866.45,2790203866944.45,2968427038382.6,3163503205536.82,3332627214481.36,3639566356428.02,4020355913496.7,4466197428156.46,4955494739341.68,5458421385983.17,5742010106467.7,6193347375100.33,6739242790266.13,7229347029623.45,7769522535367.27,8384770993134.52,9137246549619.44,9921703462720.92,10799820855922.9,11765424638587.9,12854020681898.4,..,..
South Asia (IDA & IBRD),TSA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia (IDA & IBRD),TSA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Sudan,SSD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3626.27758555131,3676.94433600521,3760.45600779424,3504.77220192584,1842.68540538455,2029.74531174235,..,..,..,..,..,..,..
South Sudan,SSD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33065798768.2049,35006609613.9854,37382426181.1059,36383425753.1343,19970152833.361,22928354187.3806,..,..,..,..,..,..,..
Spain,ESP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13664.4404391105,14449.3840767387,14843.1069057317,14960.2685757493,15569.5782550083,16262.4515371148,16958.0798751631,17910.8726064863,19096.2983030278,19954.2902150512,21587.2564410521,22958.7615758989,24371.5988492666,25018.3661157286,26119.7937425206,27606.9340516269,30688.3662172506,32438.1733867257,33263.2723985249,32098.9750530883,31680.1853932351,31867.9732396862,31720.1199986535,32434.0032017704,33525.7406299089,34912.4761266679,36554.9345486964,38888.7354742421,39715.4390594866,..,..
Spain,ESP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,531100206496.73,563040132902.613,581221704635.968,588855051000.435,615762931921.776,646010437982.925,676455296424.433,717462791327.464,768120126658.525,805891424628.996,875748883433.725,937874869385.238,1009753311276.12,1055465948170.39,1121111044438.13,1205129771230.45,1362481184536.1,1467074877441.28,1528583945708.69,1488203047041.68,1475564732001.62,1489595017146.76,1483646917303.62,1512074688796.68,1558305994181.4,1621504088407.1,1699203822384.81,1811952029692.93,1855654206040.25,..,..
Sri Lanka,LKA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2344.67173794944,2505.10756389944,2644.60592597434,2863.71296758477,3059.69484498492,3268.85051168389,3431.79663560793,3693.74822126722,3891.08469100915,4095.24863549029,4410.98773494795,4406.60000182586,4616.96935236123,4940.19626438869,5304.42742378006,5764.1324586027,6344.93922756809,6906.99654760132,7407.32479247975,7674.35094190846,8328.90662006486,9155.65879207134,10171.4244731234,10618.202082801,11250.3092438959,11830.695749286,12359.3458644956,12878.5886711718,13473.6630942698,..,..
Sri Lanka,LKA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40623250291.2275,43928887356.3908,46906901924.5462,51331548066.7617,55363577999.5983,59633352225.8042,63032797163.6418,68226854020.2047,72236426963.6238,76430788334.7677,82827767702.7464,83336429452.5302,88010895173.9377,94970515773.8699,102837746042.22,112659899733.8,124969745367.883,137048929405.354,148027860135.719,154434862574.302,168758115433.313,186763262332.062,207751344863.546,218575689874.459,233758925469.67,248089689862.527,262055210364.9,276168455464.608,291974279252.826,..,..
